ID,"Masz jakiś pomysł na projekt data? Napisz nam o tym. Jeżeli to nie ten moment, pozostaw puste pole.",W jaki sposób chcesz uczestniczyć w Community?,Programming: R,Programming: Python,Programming: Bash,Version Control: GIT,Containers: Docker,"CLI: (np. Bash, PowerShell, CMD)","Front End: (HTML, JavaScript, CSS)",Databases: SQL,Databases: NoSQL,Cloud: Azure,Cloud: AWS,Cloud: GPC,BI: PowerBI,BI: Tableau,Area: Time Series,"Area: Classical ML (Clustering, Regression, Classification)",Area: NLP,Area: Computer Vision,Project Management,Promocja w Social Media,Ux/Ui,Projektowanie graficzne,Nawiązywanie Relacji z Biznesem,Nawiązywanie Relacji z naukowcami,Pozyskiwanie finansowania,Współpraca z administracją UEW,"Jeżeli jest obszar, na którym się znasz i chcesz go wykorzystać, dopisz go:",FinTech,HealthTech,FashionTech,E-commerce,SportTech,Non-profit,PropTech (nieruchomości),Cybersecurity,HR,"Jeżeli pominięto branżę, na której się znasz dopisz ją:"
20,"Jako że zajmuję się głównie SQL-em moim pomysłem jest zrobienie czegoś w stylu generatora kodu SQL-a przy wykorzystaniu rekurencyjnych CTE, dzięki czemu połączenia między tabelami w relacyjnej bazie danych mogą zostać wykorzystane do utworzenia czegoś na zasadzie bazy grafowej. Póki co jest to bardziej wizja niż jakiś poważny pomysł - zakładam, że może być bezużyteczny, biorąc pod uwagę, że to SQL.",Chcę uczestniczyć w projekcie data,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,
22,,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,
23,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,
24,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
25,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,
26,"Mam dużo pomysłów pod kątem biznesowym, ale wymagają konfrontacji z technicznymi ludźmi","Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,"Umiem pisać strategie. biznesowe, szybko wykrywam potencjalne szanse/zagrożenia, umiem współpracować i łatwo nawiązuję kontakty",2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,Sam pisałem te branże
27,,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,
28,,Chcę uczestniczyć w projekcie data,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,"Programowanie C++, tworzenie gier / scen w silniku Unreal Engine 5",2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,
29,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
30,,Chcę uczestniczyć w projekcie data,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,Wizualizacja danych w R w tym shiny,3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,Dane przestrzenne
31,,Chcę uczestniczyć w projekcie data,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
32,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0,
33,,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,
34,"Może nie konkretny projekt, ale w przypadku jakiegoś fajnego modelu chciałbym stworzyć środowisko Docker - owe bądź chmurowe. Spróbować wyjść poza zakres tylko programowanie, ale także jak nasz kod wprowadzić w życie z naszymi środkami.",Chcę uczestniczyć w projekcie data,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,"branża energetyczna, produkcja"
36,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,
37,,Chcę uczestniczyć w projekcie data,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,
38,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,"CI/CD, gitlab, dobre praktyki programistyczne: clean code, TDD, BDD, Agile - tak w stopniu 3",2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,
39,,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,,0.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,
42,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,
43,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,
45,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,
46,,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,
47,"Jest wiele platform agregujących ogłoszenia z portali online, pozwalają one na filtrowanie np. ofert prywatnych, tych wystawionych przez biura pośrednictwa czy nawet komornika lub syndyka. Wszystkie tego typu platformy zapewniają bogate opcje filtrowania ale żadna z nich nie „śledzi” obecnie panujących trendów. 
Proponuję stworzenie oprogramowania zbierającego oferty z rynku ale poza zwykłym filtrowaniem (wielkość, ilość pokoi, cena za m2, itd.) skupiająca się na wyszukiwaniu okazji w danych lokalizacjach. 
Docelowym odbiorcą mogłyby być osoby fizyczne chcące kupić nieruchomość do remontu poniżej ceny rynkowej. 
Celem projektowym byłoby stworzenie oprogramowania, które w pierwszej kolejności musiałoby stworzyć bazę uszeregowanych ofert nieruchomości po czym w ramach ściśle określonych parametrów wyłonić rokujące na okazje inwestycyjne. 

To na ten moment bardzo luźny pomysł i musiałbym go jeszcze przemyśleć/przedyskutować :) ","Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,
48,,Chcę uczestniczyć w projekcie data,3.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,
49,,Chcę uczestniczyć w projekcie data,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
50,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,
51,,Chcę uczestniczyć w projekcie data,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,
52,,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
53,,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,DataViz,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,Finance
54,,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,
55,"Analizy, modele ML w sporcie, a w szczególności piłka nożna. Popularny temat ostatnio w akademiach piłkarskich wielkich klubów - wykorzystywanie Big Daty do weryfikowania wstępnych umiejętności przyszłych młodych zawodników z całego świata. Nic nie weryfikowałem z dostępnością danych, luźny temat. ",Chcę uczestniczyć w projekcie data,1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,
56,,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Mnóstwo computer vision,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense
58,"Pseudo klon portalu Bumbeo. Baza danych zawierające informacje na temat średnich zarobków w różnych krajach, kosztów życia i innych danych. Z tą różnicą, że dane nie pochodziłyby od użytkowników, tylko z gotowych źródeł danych (urzędowe bazy statystyczne itp.). Nie musi być taka sama tematyka jak na numbeo, ale wykonując taki projekt można by trochę się podszkolić bazodanowo/scrappowo, a przy tym może stworzyć coś ciekawego dla innych.",Chcę uczestniczyć w projekcie data,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Rozbijanie złożonych tematów na mniejsze obszary i definiowanie rzeczy do zrobienia, kategoryzowanie oraz wizualizacje w ramach map myśli. // Wykorzystywanie języków obcych w praktyce (np. wsparcie przy komunikacji podczas nawiązywanie, któreś z wyżej wymienionych relacji).",2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,SSC i BPO / Automotive
59,Biblioteka do analizy grafów oparta na zapytaniach sql,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,4.0,4.0,4.0,3.0,4.0,0.0,4.0,4.0,0.0,3.0,0.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,,4.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,"Insurance, Debt Collection, OperationsTech, Intelligence"
60,,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,Chcę uczestniczyć w projekcie data,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,produkcja FMCG
62,Swarm wirtualnych asystentów do pisania kodu w oparciu i wymagania biznesowe i human in the loop,"Chcę organizować ""życie"" Community",,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,"AWS, OpenAI, LLMs, RAGs, Python, Go, Infrastructure as a Code, DevOps, MLOps",3.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,
